,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2023-05-02,1254624,141795904,113.5,113.5,112.5,113.0,0.0,957
1,2023-05-03,1251447,141338680,112.5,113.5,112.0,113.0,0.0,767
2,2023-05-04,1971822,223902317,113.0,114.0,113.0,113.5,0.5,1194
3,2023-05-05,1406664,160150505,113.5,114.5,113.0,114.0,0.5,1070
4,2023-05-08,989158,112187673,114.0,114.5,113.0,113.0,-1.0,809
5,2023-05-09,1491804,169463016,113.5,114.0,113.0,114.0,1.0,1076
6,2023-05-10,1206429,137394799,114.0,114.5,113.0,114.0,0.0,892
7,2023-05-11,1327287,150742998,114.0,114.0,113.0,113.5,-0.5,973
8,2023-05-12,1233074,140707290,114.0,114.5,113.0,114.5,1.0,920
9,2023-05-15,897347,101898204,114.0,114.5,113.0,113.5,-1.0,775
10,2023-05-16,1234353,140863623,114.0,114.5,113.5,114.0,0.5,961
11,2023-05-17,823906,94129563,114.0,114.5,113.5,114.5,0.5,807
12,2023-05-18,1497331,172185235,114.5,115.5,114.5,115.5,1.0,1162
13,2023-05-19,1201766,138570676,115.5,115.5,114.5,115.5,0.0,947
14,2023-05-22,2008727,233472478,115.5,117.0,115.0,116.5,1.0,1374
15,2023-05-23,2068318,241637749,116.5,117.5,115.5,117.0,0.5,1709
16,2023-05-24,1696608,199303156,117.0,118.0,116.5,118.0,1.0,1343
17,2023-05-25,2006096,237497580,118.0,119.0,117.5,118.5,0.5,1716
18,2023-05-26,2546677,303735502,118.5,120.0,118.5,119.0,0.5,2178
19,2023-05-29,2060566,246589013,119.5,120.0,119.0,120.0,1.0,1654
20,2023-05-30,1477956,176990570,120.0,120.5,119.0,119.5,-0.5,1398
21,2023-05-31,4224393,497270256,119.5,119.5,116.5,118.0,-1.5,2732
22,2023-06-01,2464054,293353555,118.5,120.0,117.5,120.0,2.0,1772
23,2023-06-02,3162811,380700283,120.0,121.0,119.0,121.0,1.0,2142
24,2023-06-05,1998949,242057008,121.5,122.0,120.5,121.0,0.0,1512
25,2023-06-06,1577233,189151873,120.5,121.0,119.0,120.0,-1.0,1384
26,2023-06-07,2085144,251429013,120.5,121.0,119.5,121.0,1.0,1681
27,2023-06-08,3313537,403655479,121.0,122.5,120.5,122.5,1.5,1951
28,2023-06-09,2841804,350476128,124.0,124.5,122.0,124.0,1.5,2024
29,2023-06-12,2587333,319950059,124.0,124.5,122.0,124.0,0.0,1972
30,2023-06-13,2452569,305124866,125.0,125.0,123.5,124.5,0.5,1903
31,2023-06-14,3559305,444721158,125.0,125.5,124.0,125.0,0.5,2283
32,2023-06-15,3154724,396384080,125.5,126.0,125.0,126.0,1.0,1726
33,2023-06-16,5642013,701657460,126.0,126.0,123.5,124.0,-2.0,2987
34,2023-06-19,3238067,398789015,124.0,124.5,122.0,123.0,-1.0,2039
